"Proportion_N","CutoffValue","N_count","Replicate","no_of_taxa","individuals_per_taxa","effective_population_size","species_birth_rate","tree_wide_sub_rate","no_of_sites","exponential_growth_rate","ado","amplification_error","sequencing_errors","Replicate.y","scSEQ_score","vcfbulk_seq_score","hapcon_seq_score","hapcon_IUPAC_seq_score","total_sites"
0.0553263640743005,0.9,148500,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0553263640743005,0.95,148500,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0553263640743005,1,148500,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.25,0,874790,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0494381508704946,0.05,172992,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0494381508704946,0.1,172992,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0494381508704946,0.15,172992,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0494381508704946,0.2,172992,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0494381508704946,0.25,172992,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.00940568593605322,0.3,32912,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.00940568593605322,0.35,32912,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.00940568593605322,0.4,32912,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.00940568593605322,0.45,32912,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.00940568593605322,0.5,32912,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0635386778541136,0.55,222332,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0635386778541136,0.6,222332,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0635386778541136,0.65,222332,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0635386778541136,0.7,222332,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.0635386778541136,0.75,222332,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.137879090981836,0.8,482461,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.137879090981836,0.85,482461,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.137879090981836,0.9,482461,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.137879090981836,0.95,482461,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.137879090981836,1,482461,"r1",10,4,10597,8.543440910473e-05,9.88249202186038e-06,87479,0.000215503452855791,0.0863218174565118,0.0818522872260178,0.00618052416073624,"r1",-1,-1,-1,-1,3499160
0.2,0,829908,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.0275049764552215,0.05,114133,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.0275049764552215,0.1,114133,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.0275049764552215,0.15,114133,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.0275049764552215,0.2,114133,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.00718465179272883,0.25,29813,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.00718465179272883,0.3,29813,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.00718465179272883,0.35,29813,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.00718465179272883,0.4,29813,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.0107893887033262,0.45,44771,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
0.0107893887033262,0.5,44771,"r1",9,5,11034,5.51765032711447e-05,5.74419797800482e-06,92212,5.26497173125506e-05,0.074367958873976,0.0685380504118337,0.0376975745702512,"r1",-1,-1,-1,-1,4149540
