"Proportion_N","CutoffValue","N_count","Replicate","no_of_taxa","individuals_per_taxa","effective_population_size","species_birth_rate","tree_wide_sub_rate","no_of_sites","exponential_growth_rate","ado","amplification_error","sequencing_errors","Replicate.y","scSEQ_score","hapcon_seq_score","vcfbulk_seq_score"
6.08134097926775,"0.9",137864,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
6.08134097926775,"0.95",137864,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
6.08134097926775,"1",137864,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
10,"0",529780,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.76835667635622,"0.05",93684,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.76835667635622,"0.1",93684,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.76835667635622,"0.15",93684,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.76835667635622,"0.2",93684,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.76835667635622,"0.25",93684,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
0.18760617614859,"0.3",9939,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
0.18760617614859,"0.35",9939,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
0.18760617614859,"0.4",9939,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
0.18760617614859,"0.45",9939,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
0.18760617614859,"0.5",9939,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.21725999471479,"0.55",64488,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.21725999471479,"0.6",64488,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.21725999471479,"0.65",64488,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.21725999471479,"0.7",64488,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
1.21725999471479,"0.75",64488,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
4.5576654460342,"0.8",241456,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
4.5576654460342,"0.85",241456,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
4.5576654460342,"0.9",241456,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
4.5576654460342,"0.95",241456,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
4.5576654460342,"1",241456,"r1",10,4,11135,7.26758535008505e-06,6.27481069134872e-06,52978,0.00076956572798955,0.060940711775329,0.00284851064522751,0.0262291433528299,"r1",-1,-1,-1
9,"0",712224,"r1",9,6,11648,7.17600151322386e-06,6.59914019120855e-06,79136,0.000664144418828923,0.0673016679880675,0.0399415398998302,0.01470721341233,"r1",-1,-1,-1
2.35493327941771,"0.05",186360,"r1",9,6,11648,7.17600151322386e-06,6.59914019120855e-06,79136,0.000664144418828923,0.0673016679880675,0.0399415398998302,0.01470721341233,"r1",-1,-1,-1
